name,city,rating,rating_count,cost,cuisine,address
China Kitchen Restaurant,Adilabad,--,Too Few Ratings,₹ 250,Chinese,"China Kitchen Restaurant, Near SVR petrol pump Tripelly,Adilabad,Adilabad(urban)Telangana - 504001"
Renuka Hotel,Adilabad,3.1,20+ ratings,₹ 250,South Indian,"Renuka Hotel, Punjabi Chowk, Opp To Kushi Bar, Adilabad"
Tanishq Family Restaurant,Adilabad,3.7,50+ ratings,₹ 250,"Chinese,Indian","Tanishq Family Restaurant, Bhukthapur,Adilabad,Telanagana"
KMC Hotel,Adilabad,3.6,20+ ratings,₹ 100,Biryani,"KMC Hotel, NTR CHOWK Adilabad"
RAMA JUICE AND SHAKES PARLOUR (LASSI N SHAKES ),Adilabad,--,Too Few Ratings,₹ 150,"Indian,Beverages","RAMA JUICE AND SHAKES PARLOUR (LASSI N SHAKES ), 7-1-13/3/B  ADILABAD 504001"
Kwality Walls Frozen Dessert and Ice Cream Shop,Adityapur,4.8,20+ ratings,₹ 300,Desserts,"Kwality Walls Frozen Dessert and Ice Cream Shop, Shop No.1(II), B. No.1, Mango Bus Stand, P.S. Sakchi, P.S. Sitaramdera , District - Purbi Singhbhum, STATE - Jharkhand"
La Pino'z Pizza,Adityapur,4.1,500+ ratings,₹ 200,"Pizzas,Fast Food","La Pino'z Pizza, Ground Floor, 29, Kharkai Link Road, Bistupur, Jamshedpur, East Singhbhum, Jharkhand, 831001"
Chaw Box,Adityapur,3.3,100+ ratings,₹ 300,"Chinese,North Indian","Chaw Box, 1295, MAIN ROAD ADITYAPUR, SERAIKELAKHARSAWAN, BEHIND SHARMA MARKET,  JHARKHAND, KHARSAWAN, KHARSAWAN,  Saraikela, Jharkhand-831013"
Cafe Coffee Day,Adityapur,3.7,50+ ratings,₹ 300,"Beverages,Snacks","Cafe Coffee Day, cafecoffee day .D-costa mansion,Bistupur ,jamshedpur purbi singhbhum (jharkhand)"
Aditya Inn Restaurant,Adityapur,3.6,100+ ratings,₹ 150,"Biryani,Chinese","Aditya Inn Restaurant, Plot number 1295, Main Rd, Behind  Sharma market, Adityapur Basti,  Adityapur,GAMAHARIA, Saraikela, ,  Jharkhand, 831013"
Taste Ville,Adityapur,--,Too Few Ratings,₹ 100,"North Indian,Indian","Taste Ville, Old sitram dera jamshedpur"
Indian Bakery,Adityapur,3.3,100+ ratings,₹ 200,Bakery,"Indian Bakery, SHOP NO 1, RANI KUDAR,KADMA, JAMSHEDPUR"
Mannat Bakers,Adityapur,--,Too Few Ratings,₹ 300,Bakery,"Mannat Bakers, S TYPE CHOWK, ADITYAPUR, NAGAR NIGAM, SARAIKELA, JHARKHAND - 831013"
China Town,Adityapur,--,Too Few Ratings,₹ 200,Chinese,"China Town, KAMLA SADAN, 3RD FLOOR, H. NO.: 6,  SUBHASH COLONY, DIMNA ROAD,  MANGO, Mango Municipality Word Nos 8,  Muncipality, Purbi Singhbhum, Jharkhand  - 831012"
The Onyx (Pure veg),Adityapur,3.8,100+ ratings,₹ 300,"Indian,Chinese","The Onyx (Pure veg), SHERE-PUNJAB CHOUK, TATA KANDRA MAIN ROAD, BESIDE V MART, ADITYAPUR, JAMSHEDPUR"
KI & KA KITCHEN,Adityapur,--,Too Few Ratings,₹ 200,"Chinese,North Indian","KI & KA KITCHEN, road, near meditrina hospital, \\r\\nNaginapuri, Dindli Basti, Adityapur, \\r\\nJamshedpur,,"
Magic Momo,Adityapur,--,Too Few Ratings,₹ 200,"Chinese,Tandoor","Magic Momo, KAMLA SADAN, 3RD FLOOR, H. NO.: 6,  SUBHASH COLONY, DIMNA ROAD,  MANGO, Mango Municipality Word Nos 8,  Muncipality, Purbi Singhbhum, Jharkhand  - 831012"
Yes Yo Momo,Adityapur,--,Too Few Ratings,₹ 150,Chinese,"Yes Yo Momo, CHOUDHARY JAGARNATHPUR, GAMARIA,  ADITYAPUR 2, ADITYAPUR, GAMAHARIA,  Saraikela, Jharkhand - 832109"
